Date,PF,MD,JA,AZ,NV,ETC
2021-10-09,2235 ,454 ,46 ,171 ,0 ,157 
2021-10-10,2285 ,459 ,46 ,171 ,0 ,161 
2021-10-11,2359 ,468 ,46 ,174 ,0 ,172 
2021-10-12,3135 ,521 ,47 ,176 ,0 ,184 
2021-10-13,4572 ,541 ,47 ,183 ,0 ,200 
2021-10-14,6373 ,557 ,47 ,192 ,0 ,216 
2021-10-15,8746 ,586 ,50 ,201 ,0 ,227 
2021-10-16,8910 ,593 ,51 ,204 ,0 ,231 
2021-10-17,8952 ,596 ,51 ,205 ,0 ,245 
2021-10-18,10491 ,609 ,51 ,213 ,0 ,265 
2021-10-19,12642 ,622 ,54 ,214 ,0 ,283 
2021-10-20,17017 ,637 ,58 ,217 ,0 ,310 
2021-10-21,22947 ,654 ,58 ,218 ,0 ,325 
2021-10-22,29166 ,727 ,60 ,223 ,0 ,349 
2021-10-23,29793 ,769 ,63 ,225 ,0 ,366 
2021-10-24,29843 ,797 ,63 ,227 ,0 ,378 
2021-10-25,38958 ,913 ,70 ,233 ,0 ,406 
2021-10-26,52048 ,1038 ,74 ,236 ,0 ,429 
2021-10-27,65469 ,1167 ,79 ,238 ,0 ,452 
2021-10-28,74901 ,1622 ,83 ,241 ,0 ,480 
2021-10-29,85118 ,1900 ,91 ,244 ,0 ,508 
2021-10-30,88550 ,1995 ,92 ,249 ,0 ,530 
2021-10-31,88829 ,2038 ,93 ,249 ,0 ,547 
2021-11-01,115677 ,10019 ,142 ,249 ,0 ,571 
2021-11-02,167935 ,14788 ,205 ,253 ,0 ,594 
2021-11-03,221608 ,18937 ,268 ,254 ,0 ,613 
2021-11-04,262536 ,23474 ,352 ,255 ,0 ,641 
2021-11-05,314976 ,29919 ,478 ,257 ,0 ,663 
2021-11-06,334988 ,32397 ,497 ,257 ,0 ,675 
2021-11-07,335587 ,32579 ,511 ,258 ,0 ,685 
2021-11-08,416119 ,136488 ,980 ,258 ,0 ,720 
2021-11-09,483040 ,170743 ,1332 ,262 ,0 ,740 
2021-11-10,553747 ,195558 ,2152 ,264 ,0 ,767 
2021-11-11,615147 ,241931 ,3069 ,268 ,0 ,796 
2021-11-12,690081 ,311215 ,4049 ,273 ,0 ,828 
2021-11-13,713535 ,338728 ,4136 ,273 ,0 ,844 
2021-11-14,714463 ,339969 ,4330 ,273 ,0 ,863 
2021-11-15,834011 ,385172 ,5023 ,274 ,0 ,899 
2021-11-16,954188 ,406178 ,5952 ,276 ,0 ,934 
2021-11-17,1070342 ,424889 ,7169 ,277 ,0 ,963 
2021-11-18,1165173 ,460526 ,8232 ,277 ,0 ,1002 
2021-11-19,1274945 ,505910 ,9447 ,280 ,0 ,1034 
2021-11-20,1299542 ,523758 ,9529 ,284 ,0 ,1058 
2021-11-21,1300606 ,524796 ,9603 ,284 ,0 ,1078 
2021-11-22,1412440 ,563558 ,10106 ,285 ,0 ,1107 
2021-11-23,1535069 ,586975 ,10925 ,286 ,0 ,1137 
2021-11-24,1672848 ,609793 ,11767 ,287 ,0 ,1156 
2021-11-25,1839617 ,648275 ,12539 ,289 ,0 ,1197 
2021-11-26,2084741 ,700393 ,13410 ,296 ,0 ,1231 
2021-11-27,2138200 ,719699 ,13493 ,312 ,0 ,1250 
2021-11-28,2139899 ,720651 ,13675 ,312 ,0 ,1267 
2021-11-29,2291552 ,750607 ,14053 ,318 ,0 ,1302 
2021-11-30,2458220 ,775088 ,14753 ,324 ,0 ,1342 
2021-12-01,2600268 ,796637 ,15167 ,327 ,0 ,1390 
2021-12-02,2749826 ,830849 ,15601 ,330 ,0 ,1430 
2021-12-03,2972104 ,890862 ,16191 ,334 ,0 ,1462 
2021-12-04,3042574 ,917744 ,16213 ,337 ,0 ,1487 
2021-12-05,3045169 ,918982 ,16343 ,338 ,0 ,1505 
2021-12-06,3258833 ,995015 ,16617 ,338 ,0 ,1543 
2021-12-07,3476444 ,1072891 ,17005 ,340 ,0 ,1578 
2021-12-08,3691354 ,1164351 ,17652 ,344 ,0 ,1604 
2021-12-09,3956551 ,1347928 ,18142 ,348 ,0 ,1642 
2021-12-10,4323470 ,1754391 ,18784 ,357 ,0 ,1701 
2021-12-11,4452329 ,1906039 ,18808 ,368 ,0 ,1742 
2021-12-12,4457073 ,1910037 ,18809 ,369 ,0 ,1786 
2021-12-13,4798301 ,2357079 ,19210 ,370 ,0 ,1859 
2021-12-14,5151632 ,2812189 ,19570 ,373 ,0 ,1921 
2021-12-15,5632001 ,3265173 ,20140 ,390 ,0 ,1980 
2021-12-16,6140026 ,3678239 ,20642 ,401 ,0 ,2033 
2021-12-17,6830756 ,4179175 ,21400 ,417 ,0 ,2092 
2021-12-18,7156858 ,4386392 ,21438 ,418 ,0 ,2130 
2021-12-19,7179005 ,4394343 ,21444 ,419 ,0 ,2152 
2021-12-20,7710569 ,4715014 ,21698 ,429 ,0 ,2217 
2021-12-21,8111194 ,5010973 ,21989 ,437 ,0 ,2288 
2021-12-22,8489012 ,5257681 ,22264 ,443 ,0 ,2388 
2021-12-23,8857681 ,5489400 ,22445 ,454 ,0 ,2450 
2021-12-24,9354763 ,5793431 ,22694 ,459 ,0 ,2554 
2021-12-25,9397937 ,5810820 ,22695 ,463 ,0 ,2594 
2021-12-26,9417898 ,5816420 ,22695 ,469 ,0 ,2625 
2021-12-27,9918562 ,6079332 ,22800 ,478 ,0 ,2708 
2021-12-28,10305533 ,6312598 ,22929 ,497 ,0 ,2762 
2021-12-29,10653695 ,6503467 ,23048 ,514 ,0 ,2847 
2021-12-30,11019649 ,6685403 ,23178 ,545 ,0 ,2916 
2021-12-31,11501677 ,6941017 ,23332 ,570 ,0 ,2958 
2022-01-01,11528569 ,6948676 ,23335 ,571 ,0 ,2967 
2022-01-02,11542676 ,6952122 ,23335 ,573 ,0 ,2974 
2022-01-03,11898625 ,7085898 ,23457 ,589 ,0 ,3005 
2022-01-04,12161062 ,7189912 ,23551 ,612 ,0 ,3043 
2022-01-05,12412958 ,7272381 ,23654 ,619 ,0 ,3086 
2022-01-06,12712460 ,7355590 ,23773 ,630 ,0 ,3146 
2022-01-07,13173481 ,7493722 ,23945 ,659 ,0 ,3194 
2022-01-08,13432756 ,7581893 ,23955 ,671 ,0 ,3206 
2022-01-09,13446096 ,7584600 ,23955 ,676 ,0 ,3221 
2022-01-10,13790891 ,7683522 ,24017 ,681 ,0 ,3264 
2022-01-11,14050581 ,7767360 ,24105 ,683 ,0 ,3308 
2022-01-12,14269496 ,7832141 ,24231 ,685 ,0 ,3331 
2022-01-13,14539386 ,7905516 ,24346 ,691 ,0 ,3352 
2022-01-14,14995129 ,8030437 ,24504 ,693 ,0 ,3381 
2022-01-15,15231133 ,8100843 ,24524 ,696 ,0 ,3390 
2022-01-16,15245110 ,8103886 ,24524 ,700 ,0 ,3402 
2022-01-17,15535975 ,8199372 ,24600 ,706 ,0 ,3428 
2022-01-18,15731107 ,8267017 ,24706 ,712 ,0 ,3442 
2022-01-19,15894837 ,8319213 ,24824 ,715 ,0 ,3467 
2022-01-20,16108833 ,8387159 ,24940 ,722 ,0 ,3486 
2022-01-21,16457180 ,8508532 ,25024 ,732 ,0 ,3518 
2022-01-22,16647421 ,8577056 ,25035 ,735 ,0 ,3534 
2022-01-23,16658264 ,8580054 ,25035 ,735 ,0 ,3543 
2022-01-24,16873174 ,8663371 ,25093 ,736 ,0 ,3583 
2022-01-25,17048079 ,8732740 ,25168 ,738 ,0 ,3613 
2022-01-26,17229327 ,8807743 ,25251 ,739 ,0 ,3633 
2022-01-27,17451015 ,8901868 ,25347 ,742 ,0 ,3651 
2022-01-28,17794982 ,9063134 ,25487 ,745 ,0 ,3671 
2022-01-29,18019481 ,9179134 ,25497 ,745 ,0 ,3682 
2022-01-30,18037138 ,9186291 ,25497 ,745 ,0 ,3692 
2022-01-31,18051079 ,9191514 ,25497 ,745 ,0 ,3694 
2022-02-01,18053237 ,9192144 ,25497 ,746 ,0 ,3696 
2022-02-02,18062825 ,9194916 ,25497 ,747 ,0 ,3697 
2022-02-03,18290993 ,9295333 ,25566 ,747 ,0 ,3700 
2022-02-04,18537053 ,9408600 ,25632 ,747 ,0 ,3706 
2022-02-05,18676037 ,9474060 ,25634 ,747 ,0 ,3709 
2022-02-06,18685131 ,9476887 ,25634 ,748 ,0 ,3712 
2022-02-07,18855220 ,9553387 ,25672 ,748 ,0 ,3715 
2022-02-08,18969447 ,9602365 ,25733 ,749 ,0 ,3721 
2022-02-09,19074939 ,9643675 ,25780 ,749 ,0 ,3723 
2022-02-10,19218642 ,9705580 ,25842 ,749 ,0 ,3725 
2022-02-11,19425113 ,9806441 ,25918 ,749 ,0 ,3725 
2022-02-12,19535636 ,9865307 ,25927 ,749 ,0 ,3725 
2022-02-13,19542287 ,9867581 ,25927 ,749 ,0 ,3725 
2022-02-14,19676422 ,9927118 ,25962 ,749 ,228 ,3725 
2022-02-15,19773141 ,9969238 ,25987 ,749 ,709 ,3726 
2022-02-16,19864651 ,10005862 ,26035 ,749 ,1465 ,3726 
2022-02-17,19981193 ,10054303 ,26099 ,749 ,2412 ,3726 
