Date,Vaccine,Dose,Cumul
2022-01-20,AZ,1차,11070493 
2022-01-21,AZ,1차,11070493 
2022-01-22,AZ,1차,11070493 
2022-01-23,AZ,1차,11070493 
2022-01-24,AZ,1차,11070493 
2022-01-25,AZ,1차,11070493 
2022-01-26,AZ,1차,11070493 
2022-01-27,AZ,1차,11070493 
2022-01-28,AZ,1차,11070493 
2022-01-29,AZ,1차,11070493 
2022-01-30,AZ,1차,11070493 
2022-01-31,AZ,1차,11070493 
2022-02-01,AZ,1차,11070493 
2022-02-02,AZ,1차,11070493 
2022-02-03,AZ,1차,11070493 
2022-02-04,AZ,1차,11070493 
2022-02-05,AZ,1차,11070493 
2022-02-06,AZ,1차,11070493 
2022-02-07,AZ,1차,11070493 
2022-02-08,AZ,1차,11070493 
2022-02-09,AZ,1차,11070493 
2022-02-10,AZ,1차,11070493 
2022-02-11,AZ,1차,11070493 
2022-02-12,AZ,1차,11070493 
2022-02-13,AZ,1차,11070493 
2022-02-14,AZ,1차,11070493 
2022-02-15,AZ,1차,11070493 
2022-02-16,AZ,1차,11070493 
2022-02-17,AZ,1차,11070493 
2021-10-31,AZ,완료,9209806 
2021-11-01,AZ,완료,9211619 
2021-11-02,AZ,완료,9213573 
2021-11-03,AZ,완료,9215166 
2021-11-04,AZ,완료,9216630 
2021-11-05,AZ,완료,9218950 
2021-11-06,AZ,완료,9219328 
2021-11-07,AZ,완료,9219358 
2021-11-08,AZ,완료,9220408 
2021-11-09,AZ,완료,9221463 
2021-11-10,AZ,완료,9222463 
2021-11-11,AZ,완료,9223416 
2021-11-12,AZ,완료,9224799 
2021-11-13,AZ,완료,9224989 
2021-11-14,AZ,완료,9225000 
2021-11-15,AZ,완료,9225573 
2021-11-16,AZ,완료,9226273 
2021-11-17,AZ,완료,9227051 
2021-11-18,AZ,완료,9227825 
2021-11-19,AZ,완료,9228984 
2021-11-20,AZ,완료,9229103 
2021-11-21,AZ,완료,9229113 
2021-11-22,AZ,완료,9229600 
2021-11-23,AZ,완료,9230049 
